"list1_link","list1_selection1_name","list1_selection1_selection2","list1_selection1_selection2_url"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.34 Topografía III
(+)","(+)","https://cms.fi.uba.ar/uploads/7034_76cb9a776f.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.35 Topografía IV
(+)","(+)","https://cms.fi.uba.ar/uploads/7035_f79ffc5b31.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.36 Sistemas Cartográficos y Teledetección
(+)","(+)","https://cms.fi.uba.ar/uploads/7036_6d2315546a.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.37 Levantamiento y Práctica Profesional I
(+)","(+)","https://cms.fi.uba.ar/uploads/7037_744f6944c9.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.38 Levantamiento y Práctica Profesional II
(+)","(+)","https://cms.fi.uba.ar/uploads/7038_df8b5da62e.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.39 Valuaciones
(+)","(+)","https://cms.fi.uba.ar/uploads/7039_ccf8398e19.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.40 Geología Aplicada
(+)","(+)","https://cms.fi.uba.ar/uploads/7040_d2db57abc6.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.41 Oceanografía Física
(+)","(+)","https://cms.fi.uba.ar/uploads/7041_1fc87b70d6.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.42 Sistemas de Información Geográfica II
(+)","(+)","https://cms.fi.uba.ar/uploads/7042_317b96f325.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.43 Topografía De Obra
(+)","(+)","https://cms.fi.uba.ar/uploads/7043_2d60bf62a9.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.44 Dibujo Topográfico II
(+)","(+)","https://cms.fi.uba.ar/uploads/7044_60aa1bc928.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","70.99 Trabajo Profesional de la Ingeniería en Agrimensura
(+)","(+)","https://cms.fi.uba.ar/uploads/7099_07be3ff4ef.pdf"
"https://www.fi.uba.ar/institucional/departamentos/agrimensura/asignaturas","90.01 Topografía y Geodesia
(+)","(+)","https://cms.fi.uba.ar/uploads/9001_f80bf0e623.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.00 Tesis
(+)","(+)","https://cms.fi.uba.ar/uploads/7500_bef7c711ba.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.01 Computación
(+)","(+)","https://cms.fi.uba.ar/uploads/7501_286233b7ea.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.02 Algoritmos y Programación I
(+)","(+)","https://cms.fi.uba.ar/uploads/7502_029547ba89.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.03 Organización del Computador
(+)","(+)","https://cms.fi.uba.ar/uploads/7503_1aa7361ab7.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.04 Algoritmos y Programación II
(+)","(+)","https://cms.fi.uba.ar/uploads/7504_384dc5f70b.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.05 Informática II
(+)","(+)","https://cms.fi.uba.ar/uploads/7505_d17a90b884.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.06 Organización de Datos
(+)","(+)","https://cms.fi.uba.ar/uploads/7506_e8a541b72e.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.07 Algoritmos y Programación III
(+)","(+)","https://cms.fi.uba.ar/uploads/7507_64863aec17.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.08 Sist. Operativos
(+)","(+)","https://cms.fi.uba.ar/uploads/7508_57843845f5.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.09 Análisis de la Información
(+)","(+)","https://cms.fi.uba.ar/uploads/7509_e04fef37fe.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.09_1027 Análisis de la Información
(+)","(+)","https://cms.fi.uba.ar/uploads/7509_1027_bf55db4d1e.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.10 Técnicas de Diseño
(+)","(+)","https://cms.fi.uba.ar/uploads/7510_8f6583a415.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.11 Algoritmos y Programación
(+)","(+)","https://cms.fi.uba.ar/uploads/7511_eec55021dc.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.12 Análisis Numérico I
(+)","(+)","https://cms.fi.uba.ar/uploads/7512_7f9c246c95.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.13 Análisis Numérico II
(+)","(+)","https://cms.fi.uba.ar/uploads/7513_569d440ac7.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.14 Lenguajes Formales
(+)","(+)","https://cms.fi.uba.ar/uploads/7514_7e39fe4d32.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.15 Base de Datos
(+)","(+)","https://cms.fi.uba.ar/uploads/7515_55c25a07f5.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.16 Lenguajes de Programación
(+)","(+)","https://cms.fi.uba.ar/uploads/7516_d06b808919.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.17 Implantación de Sistemas
(+)","(+)","https://cms.fi.uba.ar/uploads/7517_325235c8d1.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.18 Proyectos Informáticos
(+)","(+)","https://cms.fi.uba.ar/uploads/7518_9e00608c20.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.19 Teoría de Comunicación
(+)","(+)","https://cms.fi.uba.ar/uploads/7519_59478b8f8c.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.20 Arquitecturas y Configuración
(+)","(+)","https://cms.fi.uba.ar/uploads/7520_4b9310c7c6.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.21 Redes y Teleprocesamientos
(+)","(+)","https://cms.fi.uba.ar/uploads/7521_f9ce0fae54.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.22 Concurrencia
(+)","(+)","https://cms.fi.uba.ar/uploads/7522_06bd565ee6.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.23 Inteligencia Artificial
(+)","(+)","https://cms.fi.uba.ar/uploads/7523_f5038ebc13.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.24 Teoría de la Programación
(+)","(+)","https://cms.fi.uba.ar/uploads/7524_f913a4c909.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.25 Computación Para Ingenieros
(+)","(+)","https://cms.fi.uba.ar/uploads/7525_14d9dde78b.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.26 Simulación
(+)","(+)","https://cms.fi.uba.ar/uploads/7526_fcecbf0614.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.27 Algoritmos y Programación IV
(+)","(+)","https://cms.fi.uba.ar/uploads/7527_29d2affc24.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.28 Base de Datos ""B""
(+)","(+)","https://cms.fi.uba.ar/uploads/7528_7918d11dff.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.29 Teoría de Algoritmos I
(+)","(+)","https://cms.fi.uba.ar/uploads/7529_56c24ea7a7.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.30 Teoría de Algoritmos II
(+)","(+)","https://cms.fi.uba.ar/uploads/7530_c48b5be5d0.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.31 Teoría de Lenguaje
(+)","(+)","https://cms.fi.uba.ar/uploads/7531_9bec2d00ed.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.32 Práctica Profesional
(+)","(+)","https://cms.fi.uba.ar/uploads/7532_df47fe90f9.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.33 Redes y Teleprocesamientos I
(+)","(+)","https://cms.fi.uba.ar/uploads/7533_0b26d644b9.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.34 Redes y Teleprocesamiento II
(+)","(+)","https://cms.fi.uba.ar/uploads/7534_427839ee75.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.35 Lenguajes Especiales
(+)","(+)","https://cms.fi.uba.ar/uploads/7535_95412d70f0.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.36 Seminario y Lógica de Bases de Datos
(+)","(+)","https://cms.fi.uba.ar/uploads/7536_bd88c8ae1f.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.37 Laboratorio de Programación de Base
(+)","(+)","https://cms.fi.uba.ar/uploads/7537_6adbd2436d.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.38 Análisis Numérico II A
(+)","(+)","https://cms.fi.uba.ar/uploads/7538_c764f29fe3.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.39 Aplicaciones Informáticas
(+)","(+)","https://cms.fi.uba.ar/uploads/7539_40d871a43d.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.40 Algoritmos y Programación I
(+)","(+)","https://cms.fi.uba.ar/uploads/7540_ef9e751f24.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.40- 544 Algoritmos y Programación I_ Wachenchauzer
(+)","(+)","https://cms.fi.uba.ar/uploads/7540_544_21f1de07a0.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.41 Algoritmos y Programación II
(+)","(+)","https://cms.fi.uba.ar/uploads/7541_0cf677892d.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.41- 533 Algoritmos y Programación II_ Wachenchauzer
(+)","(+)","https://cms.fi.uba.ar/uploads/7541_533_8ada42da0d.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.41- 1061 Algoritmos y Programación II_ Carolo
(+)","(+)","http://www.fi.uba.ar/sites/default/files/7541-1061.pdf%20style=line-height:%2020.8px;"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.42 Taller de Programación I
(+)","(+)","https://cms.fi.uba.ar/uploads/7542_c5adc8b746.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.43 Introd. a los Sistemas Distribuidos
(+)","(+)","https://cms.fi.uba.ar/uploads/7543_b391e34eaf.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.44 Admin. y Control de Proyectos Inform. I
(+)","(+)","https://cms.fi.uba.ar/uploads/7544_e915d8901d.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.45 Taller de Desarrollo de Proyectos I
(+)","(+)","https://cms.fi.uba.ar/uploads/7545_950d299ac6.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.46 Administración y Control de Proyectos Informáticos II
(+)","(+)","https://cms.fi.uba.ar/uploads/7546_76c0cc0073.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.47 Taller de Desarrollo de Proyectos II
(+)","(+)","https://cms.fi.uba.ar/uploads/7547_b03f17563c.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.48 Calidad en Desarrollo de Sistemas
(+)","(+)","https://cms.fi.uba.ar/uploads/7548_097b9a06d5.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.50 Introd. a los Sistemas Inteligentes
(+)","(+)","https://cms.fi.uba.ar/uploads/7550_3bcbca662e.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.51 Técnicas de Producción de Software I
(+)","(+)","https://cms.fi.uba.ar/uploads/7551_38fe63e6c4.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.52 Taller de Programación II
(+)","(+)","https://cms.fi.uba.ar/uploads/7552_c0f35af271.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.53 Técnicas de Producción de Software II
(+)","(+)","https://cms.fi.uba.ar/uploads/7553_c58c1c0f2e.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.54 Técnicas de Producción de Software III
(+)","(+)","https://cms.fi.uba.ar/uploads/7554_9664e18fd4.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.55 Taller de Desarrollo de Proyectos III
(+)","(+)","https://cms.fi.uba.ar/uploads/7555_2ade15dd5c.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.56 Organiz. Implant. y el Mantenimiento
(+)","(+)","https://cms.fi.uba.ar/uploads/7556_a1ca005fbf.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.57 Modelos de Proceso de Desarrollo
(+)","(+)","https://cms.fi.uba.ar/uploads/7557_a5415da687.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.58 Evaluación de Proy. y Manejo de Riesgos
(+)","(+)","https://cms.fi.uba.ar/uploads/7558_1d8f7ca5ba.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.59 Técnicas de Programac. Concurrente I
(+)","(+)","https://cms.fi.uba.ar/uploads/7559_7506eb8a10.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.60 Sistemas Distribuidos I
(+)","(+)","https://cms.fi.uba.ar/uploads/7560_ea804514a5.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.61 Taller de Programación III
(+)","(+)","https://cms.fi.uba.ar/uploads/7561_780a962bde.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.62 Técnicas de Programac. Concurrente II
(+)","(+)","https://cms.fi.uba.ar/uploads/7562_7182f59fd3.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.63 Sistemas Distribuidos II
(+)","(+)","https://cms.fi.uba.ar/uploads/7563_e14fa9c3a3.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.64 Sistemas Multimediales
(+)","(+)","https://cms.fi.uba.ar/uploads/7564_04d5645190.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.65 Manuf. Integrada p/ Comput. (CIM) I
(+)","(+)","https://cms.fi.uba.ar/uploads/7565_2035ed1fe7.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.66 Manuf. Integrada p/ Comput. (CIM) II
(+)","(+)","https://cms.fi.uba.ar/uploads/7566_20d043e779.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.67 Sist. Aut. de Diag. y Detección Fallas I
(+)","(+)","https://cms.fi.uba.ar/uploads/7567_f327e8b472.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.68 Sist. de Soporte p/ Celdas Prod. Flexible
(+)","(+)","https://cms.fi.uba.ar/uploads/7568_3b61d7bf6d.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.69 Sist. Aut. de Diag. y Detección Fallas II
(+)","(+)","https://cms.fi.uba.ar/uploads/7569_47573a1e2a.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.70 Sist. de Prog. no convencional de Robots
(+)","(+)","https://cms.fi.uba.ar/uploads/7570_a7502ca5ba.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.71- 460 Seminario_ Zelasco
(+)","(+)","https://cms.fi.uba.ar/uploads/7571_460_750a2b7179.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.71 Seminario_ Cosso
(+)","(+)","https://cms.fi.uba.ar/uploads/7571_2abe0c036c.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.72 Seminario de Ing. en Informática II
(+)","(+)","https://cms.fi.uba.ar/uploads/7572_1a7149a802.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.73 Arquitectura de Software
(+)","(+)","https://cms.fi.uba.ar/uploads/7573_9b951662d7.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.74 Sistemas Distribuidos I
(+)","(+)","https://cms.fi.uba.ar/uploads/7574_1ed6d705b4.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.75 Computación I
(+)","(+)","https://cms.fi.uba.ar/uploads/7575_c751a38b8f.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.76 Computación II
(+)","(+)","https://cms.fi.uba.ar/uploads/7576_e199798050.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","75.99 Trabajo Profesional
(+)","(+)","https://cms.fi.uba.ar/uploads/7599_c15ec3713f.pdf"
"https://www.fi.uba.ar/institucional/departamentos/computacion/asignaturas","95.01 Computación
(+)","(+)","https://cms.fi.uba.ar/uploads/9501_c4e41ec308.pdf"
